ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
135,49,23497.83120103581,0.24226765685760346,1,117,7646,2105,9634
136,23,27613.017630158272,0.07161552423154383,0,3,0,0,-3
137,28,23946.804288634587,0.19652892395362573,1,793,6852,1500,7559
138,25,20314.21729990067,0.03297427221675201,1,1093,13898,1583,14388
139,59,26326.14893169037,0.17018463371957113,1,789,6808,2512,8531
140,34,35133.585957481366,0.1951138218144092,1,433,7468,2013,9048
141,20,28230.927875703772,0.06792466834461741,1,387,5821,1463,6897
142,51,21565.275692508138,0.03129161316904228,1,335,7906,1474,9045
143,33,21403.46074337865,0.00012784080479064853,1,340,5462,1372,6494
144,68,25411.14935065794,0.07947709275130597,1,2240,5986,2359,6105
145,67,23044.971816984933,0.0034125770896433994,1,47,17386,2583,19922
146,43,22884.78350280664,0.15354662826960144,0,131,0,0,-131
147,72,25159.708156073844,0.05586929182196073,0,7,0,0,-7
148,39,64164.265492948616,0.12091992076280413,1,841,5518,1753,6430
149,34,33121.998959268,0.29423390816898415,1,346,5880,2579,8113
150,22,42087.54680357383,0.05769727658519467,1,112,7752,1561,9201
151,72,79081.78730366509,0.0647477723257347,1,468,11971,1351,12854
152,29,25022.772040425072,0.004573392101274412,1,240,6518,1990,8268
153,19,20684.872757951925,0.13931408039488954,1,82,5279,1640,6837
154,19,21213.208059168726,0.4269446960366875,0,36,0,0,-36
155,33,42508.96384841353,0.011891155086675004,0,92,0,0,-92
156,32,22713.08981428926,0.2086162235299218,0,9,0,0,-9
157,36,29135.886738329587,0.011203849899101205,1,1228,7810,3317,9899
158,74,21188.248765855566,0.33164372748120385,1,430,7258,1410,8238
159,52,25715.045926237683,0.12076324473203288,1,243,5971,1648,7376
160,58,43069.552926942284,0.020028049495400192,1,1336,32273,1382,32319
161,49,41887.489911008845,0.0010331104994733857,1,856,45201,2254,46599
162,19,23264.885781254132,0.13050501077998525,1,639,5278,2932,7571
163,75,22689.37005077025,0.09555683747474727,1,477,5966,1530,7019
164,39,21388.36626259192,0.15966532576316278,1,969,6007,1570,6608
165,30,24171.299908225345,0.38914411167157614,0,1,0,0,-1
166,69,20266.9041633157,0.008680339040401795,1,242,6190,1566,7514
167,24,41934.02748931334,0.28795358596927956,1,108,8926,1360,10178
168,74,26161.494303298317,0.20251452320258914,1,248,13582,2589,15923
169,20,22833.18136439513,0.09243057667151129,1,1342,10404,1384,10446
170,49,28673.20551265833,0.004372279917365071,1,182,5777,2037,7632
171,23,21610.0216330829,0.4156100614643477,0,6,0,0,-6
172,18,20422.845394994558,0.16768600897390093,0,52,0,0,-52
173,54,21455.545267216785,0.018770724152202982,1,657,6081,1511,6935
174,24,30949.944824754042,0.03394501626502851,1,445,8067,1633,9255
175,37,22141.53807206706,0.018904741614070297,1,38,9574,1590,11126
176,75,40955.10939362874,0.14254349793080778,1,53,7188,1398,8533
177,23,34019.72545476623,0.045991746510236915,1,116,6665,1539,8088
178,50,32678.92254239416,0.3212723879180064,1,871,6626,1530,7285
179,63,25726.39074953748,0.05764775376160657,0,20,0,0,-20
180,65,28144.441469145684,0.15741705438988995,0,5,0,0,-5
181,19,20943.21010466301,0.10580758797424074,1,548,6040,3046,8538
182,27,40157.24858366038,0.0968742228482731,1,126,14376,2091,16341
183,19,21133.630044109334,0.03245394236056081,1,611,5314,1433,6136
184,34,24138.452530443745,0.15336131992314125,1,921,24191,2283,25553
185,19,20924.139951464735,0.006475431543162374,0,4,0,0,-4
186,37,27711.17837892761,0.03394849450501208,1,944,21121,3614,23791
187,70,20221.196147369377,0.11425969163405897,1,320,8675,1484,9839
188,19,20273.913629614228,0.03817359115262612,1,690,13626,1479,14415
189,46,31538.354050682865,0.08746970191286735,1,36,5449,1653,7066
190,52,43555.86184672544,0.09501344436116317,1,456,11457,1397,12398
191,25,30962.40450902811,0.030354759741142972,1,166,6705,1825,8364
192,18,38900.103181691426,0.20433926270812525,1,332,8446,6402,14516
193,32,21307.01967515768,0.07218536811310701,1,733,6391,3305,8963
194,19,57386.25423443291,0.04147943651228734,1,696,6096,1518,6918
195,69,31344.207131501655,0.19747598233211514,0,24,0,0,-24
196,47,79616.44759926788,0.025643861418687883,0,115,0,0,-115
197,37,22755.612079590646,0.08870569123562716,1,807,74803,1501,75497
198,26,23367.927646386077,0.013446165090878533,1,116,6447,1491,7822
199,64,37576.75666312795,0.003379429939165893,1,67,5675,1670,7278
200,18,28083.272143727678,0.06986291942553134,1,108,7907,1901,9700
201,62,42277.97788184162,0.25932764264356367,1,940,16910,2041,18011
202,21,27444.865493885056,0.057664069638191665,1,395,6291,1630,7526
203,54,25574.138353558796,0.4043772453595654,0,52,0,0,-52
204,47,39153.727770237536,0.05771714697697468,1,756,12811,1772,13827
205,56,35653.43010901237,0.10759901760274566,1,1886,16855,1577,16546
206,35,24350.16028517095,0.12864216419521293,1,134,5374,1744,6984
207,69,25152.255874643462,0.2603635008175442,0,0,0,0,0
208,40,29885.150383600805,0.36858439736879295,0,48,0,0,-48
209,32,30949.415392826086,0.31129807420368016,1,260,6714,1349,7803
210,30,21105.56629645382,0.055251925179643065,0,119,0,0,-119
211,31,21507.29135235456,0.28414205934580916,0,42,0,0,-42
212,43,33184.304585824,0.030875001895856635,1,52,6876,1440,8264
213,36,20140.64030002262,0.03420067405790959,1,1119,17776,3657,20314
214,31,20760.683241244285,0.03295231304210948,1,407,8001,1468,9062
215,23,26632.630929141073,0.16051356396387148,0,93,0,0,-93
216,65,44633.987686052336,0.06531213621567993,1,125,5638,1363,6876
217,45,22195.42621128184,0.4591227577280925,0,89,0,0,-89
218,56,25753.507114577926,0.2688995591646849,0,0,0,0,0
219,43,20446.786314075787,0.001553122836612991,1,718,25230,1351,25863
220,21,23942.789043262223,0.0725105777555401,0,97,0,0,-97
221,64,21613.34945043267,0.10387977524332702,0,37,0,0,-37
222,42,30239.74139924226,0.07243616749318066,1,529,5496,1660,6627
223,59,28525.94762888331,0.04346759399186214,1,421,9052,1654,10285
224,46,20024.882631975823,0.23728651296018313,1,238,13413,1422,14597
225,60,21964.59175862509,0.1275978768117564,1,326,8922,1539,10135
226,18,28831.846194981565,0.16073549609650073,1,274,6518,1516,7760
227,70,22455.30498485715,0.1559094166379055,0,12,0,0,-12
228,33,21713.124091568992,0.0640722250712033,1,536,5612,1759,6835
229,27,30594.70471450362,0.1584801656215379,0,21,0,0,-21
230,19,20545.602891990144,0.17099619312434025,0,130,0,0,-130
231,42,21530.115820295083,0.11784503133342387,0,17,0,0,-17
232,52,43563.663812784725,0.035759767806591646,1,407,12065,1521,13179
233,30,42394.66611843635,0.016447355340981133,1,187,6677,1668,8158
234,25,38252.623011903066,0.013303489101323288,1,131,5320,1400,6589
235,32,32638.354877965296,0.1032364128174206,1,105,5611,1378,6884
236,65,28045.328035180355,0.20857937764661477,1,325,10469,1443,11587
237,23,34139.671723067,0.04712235525881094,1,146,9389,2107,11350
238,45,24269.930986161646,0.16653988239021483,1,96,5300,1477,6681
239,47,20299.9171370956,0.012733520422398878,1,510,8248,1372,9110
240,52,20322.357846452658,0.01988635174709217,1,245,5795,1753,7303
241,38,22372.82214964874,0.2626371202533302,0,3,0,0,-3
242,39,28977.637699299663,0.06444544715733816,1,768,17373,1620,18225
243,36,26800.58446629042,0.22457075883188657,1,193,5636,1405,6848
244,42,24576.072054580243,0.04863171515642333,1,49,5251,1764,6966
245,42,21226.700328589406,0.046500289746988305,1,389,10549,1406,11566
246,48,20621.452634813515,0.4907223760497516,0,4,0,0,-4
247,68,35773.59199608064,0.12082466091450016,0,190,0,0,-190
248,30,24057.610865851697,0.12550723427465632,1,49,13548,1466,14965
249,18,150322.83557428166,0.012176997999019987,1,687,5856,4664,9833
250,30,48177.15119849616,0.30139689743383397,0,82,0,0,-82
251,20,41723.77239588115,0.21092743301043662,0,155,0,0,-155
252,39,26233.9381045041,0.029972963099919446,1,431,7487,1688,8744
253,45,22439.12525835413,0.0414042991403453,1,1757,17435,1913,17591
254,26,23186.026806315775,0.0287565494772254,1,119,11661,1699,13241
255,56,26847.286259155975,0.4770192067860951,0,155,0,0,-155
256,23,22666.956300901657,0.04684460529217781,1,10,26260,1774,28024
257,59,25779.56568740458,0.07068022326453226,1,488,5300,2444,7256
258,52,22299.170244209818,0.032679422214553236,0,19,0,0,-19
259,41,21105.02588639259,0.09665929382920072,1,840,7326,1435,7921
260,29,29333.649346505987,0.17480832534733362,1,102,8919,1836,10653
261,47,29328.66259677625,0.09888993959233726,1,195,7926,1348,9079
262,18,21376.662656387743,0.13017089133958545,0,94,0,0,-94
263,44,34964.110553895334,0.22879362587739943,0,56,0,0,-56
264,51,26138.81462748284,0.039698318295750275,1,277,6266,1522,7511
265,30,21267.390812335863,0.003329197457216324,0,112,0,0,-112
266,73,25146.84480413065,0.20166327585118857,1,576,5493,1594,6511
267,38,30078.935854452808,0.10294794034216674,1,85,9021,3703,12639
268,25,31541.223717699722,0.001220998881249386,1,513,5781,1409,6677
269,42,20037.75929352627,0.3778437114497127,1,588,8827,1399,9638
270,22,24977.44881293451,0.0788520688450315,1,200,8447,1578,9825
271,19,21262.75045299315,0.02567538579774395,1,1201,23408,1365,23572
272,52,24761.68711377769,0.007634485083551356,1,42,35160,1539,36657
273,35,23970.566320183276,0.003245227307634347,1,368,12079,2061,13772
274,33,28170.21606838027,0.23064009177717507,1,413,14043,2016,15646
275,29,21419.68878557656,0.021869117100026165,1,396,6901,1406,7911
276,71,22742.474670545907,0.06431895827155687,1,712,5255,1384,5927
277,20,21656.783432246568,0.22743381706732033,1,287,7034,3340,10087
278,33,21321.233309924508,0.15783778479370422,1,460,5686,1376,6602
279,19,37023.56975265244,0.12869423572059618,1,1596,13476,2440,14320
280,18,60142.55947391209,0.007390928050580959,1,412,5945,1377,6910
281,19,21960.410200073067,0.2734031712595171,1,110,13317,1528,14735
282,44,20208.367679111005,0.18107635320090693,0,134,0,0,-134
283,65,23358.13708277476,0.03015849704471823,1,1010,8434,1566,8990
284,21,34652.63814134268,0.19002838185041188,1,976,12410,1572,13006
285,55,23460.342088187135,0.041473901438497315,1,1080,6820,11708,17448
286,24,20773.957786155588,0.13535539571097774,1,36,5493,2808,8265
287,59,21998.868149260128,0.08881821473324868,0,20,0,0,-20
288,56,54051.02853462574,0.25677276913732155,1,981,10101,1947,11067
289,70,21325.44362465149,0.12201563464261898,1,103,5490,5634,11021
290,22,34045.97725848013,0.36404165656438126,0,29,0,0,-29
291,58,20323.990534537188,0.11563778568449032,1,124,11581,1538,12995
292,43,21236.45870978392,0.04352470688577875,1,203,22009,1771,23577
293,64,31883.493589910348,0.40649103258821806,1,449,6167,1776,7494
294,36,52486.73765146196,0.0796290127699785,1,1395,14290,1876,14771
295,21,23931.71945196954,0.027850238131663804,1,310,6678,2205,8573
296,20,32583.485486514262,0.15872243384594276,0,87,0,0,-87
297,19,20150.081649999098,0.14496833060341524,1,63,5996,2699,8632
298,18,22882.413822908937,0.05584291642904069,1,65,5618,1396,6949
299,18,24217.303734527814,0.141536816743578,1,60,7142,1431,8513
300,36,22143.380573514944,0.004145958624706218,1,141,11661,2215,13735
301,21,22222.48371095857,0.12085516525095387,1,1067,7503,3249,9685
302,28,27648.565019492107,0.010469718136788018,1,48,19582,1493,21027
303,49,47139.051171280786,0.4378682547865527,1,189,14779,1419,16009
304,46,23394.46772712195,0.13352254587650364,1,92,10791,2290,12989
305,58,24825.311407325964,0.22264836415576356,1,455,5791,2325,7661
306,47,25423.317589259394,0.1148472240588609,0,54,0,0,-54
307,27,20440.78124502452,0.13028463724114378,1,896,10073,1363,10540
308,38,23108.714604613175,0.02081119281614553,0,2,0,0,-2
309,19,21939.230417022536,0.006579217822732166,1,951,6760,1710,7519
310,42,29082.739297930868,0.0073364885600741645,1,694,8427,1553,9286
311,34,20594.512677650277,0.004658648021353106,1,325,6220,2422,8317
312,55,28802.115348750438,0.06276801222330156,0,77,0,0,-77
313,70,20198.075363052176,0.15553312100868194,1,461,13913,1584,15036
314,18,25404.75112714933,0.2684033288638409,1,251,6014,1420,7183
315,34,28971.364416099994,0.04535909944788076,1,205,8259,2523,10577
316,52,28216.819706350172,0.3178719383448983,0,91,0,0,-91
317,26,23252.94244843118,0.08293225274706068,1,1192,7394,1486,7688
318,31,21174.99136345467,0.026086041272116146,1,287,6619,1505,7837
319,57,20010.239081378455,0.00201143061655187,1,215,14697,1432,15914
320,44,31920.926711476735,0.09785726840041352,1,389,7333,1362,8306
321,47,22470.5444537786,0.1249495182430333,1,492,7175,1389,8072
322,33,23546.86244038695,0.003663532077868917,1,438,5866,2028,7456
323,26,25733.274750197008,0.03664409504759343,1,446,13202,1409,14165
324,41,23559.01612142226,0.03941515505329301,1,199,9555,1737,11093
325,62,32143.520383923973,0.14090386291120002,1,400,7788,1603,8991
326,24,53878.704651847904,0.037124388551218794,1,204,14619,1543,15958
327,32,25070.14461050365,0.08378075485924252,0,11,0,0,-11
328,26,26528.78560495045,0.23564150709290568,1,42,8989,3553,12500
329,59,22498.984430109358,0.13989617086462602,1,304,7271,1486,8453
330,50,37905.33085770321,0.07622878219796965,0,145,0,0,-145
331,50,27163.611264191855,0.1586023303774053,1,203,13526,1492,14815
332,71,20366.043972141953,0.1186870479700315,0,56,0,0,-56
333,19,29590.6491012648,0.010162282014629617,1,671,6461,1586,7376
334,35,21702.898965504446,0.18638252855593848,1,62,8030,2087,10055
335,25,28214.75723190163,0.030405723089221168,1,599,5604,1574,6579
336,40,23396.335142289787,0.3831642990541764,0,38,0,0,-38
337,18,33734.47483978395,0.13012862376790965,1,129,5394,1442,6707
338,41,28473.036220727387,0.02086800698421171,1,143,11125,1588,12570
339,39,33877.22690172261,0.33315871027011235,0,29,0,0,-29
340,24,20749.011008599624,0.18891372089431527,1,1208,9245,2777,10814
341,35,22427.763970369273,0.023006113306379177,1,210,8168,1406,9364
342,46,26312.201420919824,0.01168495896745781,1,175,11672,1561,13058
343,23,23796.89504085962,0.03226427642120238,1,244,21414,1815,22985
344,62,20404.137912729053,0.13211685485907076,1,624,6063,2838,8277
345,41,32877.65094959832,0.08550642523298291,1,49,6596,4082,10629
346,33,25267.713119822132,0.07980245837339836,0,56,0,0,-56
347,51,32225.399589609846,0.04888808668589056,1,435,6995,3399,9959
348,19,40283.1778322906,0.28703708282012685,1,1675,26663,2006,26994
349,29,30869.924522669022,0.15416528171609692,1,246,11751,2069,13574
350,19,24884.212285812006,0.03669205909043459,0,2,0,0,-2
351,19,32367.06280579002,0.1387345263182574,1,310,5659,2046,7395
352,28,22519.299528116633,0.10356877134326965,1,265,13708,2217,15660
353,64,24275.981778184043,0.16199366709410748,1,902,5850,1385,6333
354,18,37015.78502096331,0.06308596057536864,1,338,10359,1385,11406
355,71,26071.671610759982,0.16491471852388254,1,531,7053,1386,7908
356,68,26127.860267717402,0.05105694655421336,1,163,5460,3085,8382
357,46,27850.23710392279,0.060754535941489274,1,166,14277,1923,16034
358,30,58018.24113114414,0.10112317761575984,1,1309,9980,1418,10089
359,40,22788.629966168803,0.05275866361621558,0,7,0,0,-7
360,32,71111.91522021384,0.05453945013672948,1,333,7292,1386,8345
361,54,24489.830337574,0.346185897228941,0,42,0,0,-42
362,42,20429.562537827587,0.006305089034849603,1,51,18297,1945,20191
363,20,31170.992124932654,0.1044162174607314,1,1919,6164,3056,7301
364,59,22791.30596254959,0.03953000635322184,1,1177,5383,1607,5813
365,44,44047.27049376138,0.18650535243834443,0,174,0,0,-174
366,27,36357.529059250606,0.032932991497972706,1,240,6117,1431,7308
367,66,23945.533131253887,0.21829994506109923,0,14,0,0,-14
368,41,23325.343063120676,0.16509423022980535,1,453,5768,1859,7174
369,66,24345.87910209838,0.1608316820662712,1,192,14981,1849,16638
370,48,25685.311626092924,0.08742350985735924,1,652,9224,1457,10029
371,73,26608.936076333142,0.20776504740134863,0,50,0,0,-50
372,72,26882.676055167132,0.05525546474188648,1,323,6720,1744,8141
373,57,31985.033524404625,0.07671331295795444,1,253,8709,1927,10383
374,19,24776.02842046869,0.20409168565693747,1,31,6380,1670,8019
375,23,36916.59843552177,0.022343815653046245,0,13,0,0,-13
376,66,24243.374975491675,0.23580051490658327,0,30,0,0,-30
377,70,25273.233273665537,0.0014543656785166318,1,1574,5311,1909,5646
378,46,31601.754769417697,0.004913461407837615,1,710,6351,1386,7027
379,40,56909.51448327081,0.29139188372366503,0,229,0,0,-229
380,20,21153.289016969742,0.06217957547610878,1,341,27678,1635,28972
381,20,97299.69579830962,0.07026111633883221,0,22,0,0,-22
382,54,34308.83314129364,0.016701669413159783,1,163,12231,1900,13968
383,18,21042.204007963406,0.12440369142784705,0,102,0,0,-102
384,33,28425.755558614615,0.015446334908382587,1,614,7967,1820,9173
385,59,25384.41021951065,0.08722541640282151,1,94,11423,3277,14606
386,27,55470.643724737136,0.08681659365931055,1,3197,15044,1791,13638
387,19,20676.7312371455,0.02523306982890038,1,684,17075,2015,18406
388,19,83211.44829628231,0.13232746476244583,1,24,14084,2913,16973
389,35,32499.575750056676,0.008577455883154143,1,454,5476,1641,6663
390,47,150710.00799882636,0.0454161902576097,1,46,5562,1788,7304
391,28,23725.597442063823,0.07029391574959636,1,225,6049,5649,11473
392,62,30941.637283869808,0.039243000044958114,0,90,0,0,-90
393,55,24764.520030526943,0.038964481945444766,1,1546,13517,1337,13308
394,22,24396.992246544687,0.11527379548228074,0,64,0,0,-64
395,27,20225.01215449322,0.02703838552270157,1,1227,6880,1468,7121
396,41,20001.046569058984,0.033076872293158206,1,306,5996,1363,7053
397,29,23575.03142754191,0.16161131159342965,1,569,9538,1408,10377
398,22,121028.84745207758,0.04824112263232512,1,91,7655,1408,8972
399,28,20169.940752116967,0.04166554535076738,1,333,7012,1506,8185
400,22,44707.903670983345,0.08932156440269137,1,277,6713,1538,7974
401,23,27455.729089531746,0.03045007135994882,1,337,5421,1634,6718
402,27,25415.460131567463,0.24708011835087443,1,899,6852,1351,7304
403,32,38710.912046188656,0.06283729205472889,1,202,7444,2530,9772
404,23,22694.83863669634,0.04494592536749167,1,311,7567,2040,9296
405,45,21690.648227537386,0.16584883166544234,0,14,0,0,-14
406,45,20203.05660159032,0.01574621144869845,1,94,25238,2167,27311
407,54,20098.970209296298,0.011486892071947396,1,1254,6017,1709,6472
408,42,26302.813141150866,0.18339215888532304,0,21,0,0,-21
409,67,22288.719462980534,0.07096246712765399,1,123,7530,1812,9219
410,33,20508.708999277755,0.0005949412420233183,1,528,6699,2177,8348
411,34,25915.647861917154,0.23521446383017625,0,76,0,0,-76
412,22,21308.446877961796,0.31890372492068253,0,105,0,0,-105
