likes,marked_as_ads,date,text
12600,0,1685872903,"ВСЁ! БЕНЗЕМА В «РЕАЛЕ» – ВСЁ! 😱 

Он провел 14 лет в клубе и выиграл 25 трофеев и «Золотой мяч» ❤

#vkfootball"
2483,0,1685871000,"😘🏆

#vkfootball"
4589,0,1685869203,"Лео ушел красиво 😎

#vkfootball"
3361,0,1685867400,"Серхио и Лео красиво попрощались с «Парижем» 👋 
 
Игроки вышли на последний матч вместе с детьми 🥺

#vkfootball"
2129,0,1685865602,"Не лучший сезон парижан 🙃

#vkfootball"
2762,0,1685863800,"За это время успел запомниться фанатам красивейшими дальними ударами и голами на последних минутах ⚽️

#vkfootball"
1849,0,1685862003,"Есть 3 варианта, какой выбрать Лео? 🤔

#vkfootball"
1112,0,1685858661,"В Манчестере праздник 😏

На вечер есть что посмотреть 👇 
 
🇪🇸 Ла Лига: 
 
19:30 Реал Мадрид — Атлетик 
19:30 Вильярреал — Атлетико 
22:00 Сельта — Барселона 
 
🇮🇹 Серия А: 
 
19:30 Наполи — Сампдория 
22:00 Рома — Специя 
22:00 Удинезе — Ювентус 
22:00 Милан — Верона

#vkfootball"
4252,0,1685826207,"👀 Рамос забивает в последнем матче за «ПСЖ», Месси — нет!

#vkfootball"
3555,0,1685823428,"Лейпциг — обладатель Кубка Германии 🇩🇪

#vkfootball"
2965,0,1685823395,"Но о конце карьеры речи не идет 😎

#vkfootball"
3818,0,1685821380,"😱😱😱 Легенда — ВСЕ?

#vkfootball"
3934,0,1685821125,"ТОП-рекорд 🥳

#vkfootball"
2991,0,1685815201,"До требла осталось 3...2...1...

#vkfootball"
3975,0,1685811602,"Хвича — в «Реал»? 😱

#vkfootball"
11674,0,1685808585,"«Ман Сити» побеждает в финале Кубка Англии 🇬🇧
 
#vkfootball"
2668,0,1685807043,"🐐 Уже скоро 😍

#vkfootball"
1036,0,1685800801,"🇬🇧 Центральный матч дня и всего Манчестера стартовал! 
 
Какой лысый тренер выиграет? 🔥

#vkfootball"
4231,0,1685800304,"🔥 БУМ! Месси — все! 
 
В интервью ESPN аргентинец поблагодарил одноклубников «за прекрасный опыт в Париже» 😱
 
#vkfootball"
1423,0,1685800152,"А вот и составы на финал 🔥

#vkfootball"
1527,0,1685799000,"Неймар уже выбрал спорт, которым займется после футбола 😉🏎

#vkfootball"
3265,0,1685797202,"Давайте честно. Многим не помешает научиться уходить так же достойно, как Серхио 👏🏻

#vkfootball"
2333,0,1685795400,"Процент побед Маурисио Почеттино в его тренерской карьере 📊

#vkfootball"
1993,0,1685793602,"Это уже классика 😏

#vkfootball"
3723,0,1685792906,"✅🇪🇸 ОФИЦИАЛЬНО — Марко Асенсио покинет «Реал Мадрид» в качестве свободного агента!

#vkfootball"
1795,0,1685791800,"Криштиану Роналду подтвердил, что в следующем сезоне останется в Саудовской Аравии ✅

#vkfootball"
2242,0,1685790002,"В Париже будет полная перестройка 🔥

#vkfootball"
2410,0,1685788200,"А вот так прямо сейчас выглядит поле на «Камп Ноу» 😢

#vkfootball"
2509,0,1685786401,"Кейн провел очередной сезон на уровне, но команда... 🤷‍♂ 
 
Может уже пора подумать об уходе? 🤔

#vkfootball"
2578,0,1685784600,"Так уходят легенды 💔

#vkfootball"
2328,0,1685782803,"Вы могли не заметить этого в финале ЛЕ, но в одном из моментов Жозе таки не удержался 😂

#vkfootball"
2361,0,1685781000,"Конец эпохи в «ПСЖ» 😟

#vkfootball"
2565,0,1685779202,"Это было хорошее время в Париже для Серхио 😍

#vkfootball"
1483,0,1685777400,"Победители других номинаций по итогам этого сезона Серии А: ✅
 
🇮🇹 Иван Проведель — лучший голкипер. 
 
🇮🇹 Ким Мин Джэ — лучший защитник. 
 
🇮🇹 Николо Барелла — лучший полузащитник. 
 
🇮🇹 Николо Фаджоли — лучший молодой игрок.

#vkfootball"
3418,0,1685775604,"Абсолютно заслуженно 💪 
 
🇬🇪 Хвича — лучший игрок Серия А прошедшего сезона! 
 
✅ 33 матча 
⚽️ 12 голов 
🅰 13 ассистов 
 
😎 Осимхен — лучший нападающий Серии А в этом сезоне! 
 
✅ 31 матч 
⚽️ 25 голов 
🅰 4 ассиста

#vkfootball"
990,0,1685772551,"Нашли сестру Холанда 😂 
 
И сегодня футбол есть 👇 
 
🇮🇹 Серия А: 
 
19:30 Торино — Интер 
 
🇫🇷 Лига 1: 
 
22:00 ПСЖ — Клермон 
 
🇩🇪 Кубок Германии, Финал: 
 
21:00 РБ Лейпциг — Айнтрахт Ф 
 
🇬🇧 Кубок Англии, Финал: 
 
17:00 Манчестер Сити — Манчестер Юнайтед

#vkfootball"
5781,0,1685742567,"! Официально! 😱

#vkfootball"
1435,0,1685738543,"«Интер» сыграет в финале ЛЧ с новой формой 😎 
 
🔟 Кейн остается целью «Реала», несмотря на решение Бензема остаться [Marca] 
 
🇪🇸 «Реал» хочет расстаться с Азаром, Эден не желает уходить. Минута его игры стоила 70 тысяч евро в этом сезоне [As] 
 
🤖 Роналду об игре в Саудовской Аравии: «В Рамадан мы иногда тренировались в 22:00, что странно для меня. Но это опыт, мы учимся у новых культур» 
 
🇩🇪 «Айнтрахт» и 30-летний Гетце продлили контракт до 2026-го 
 
🚀 Роберт Левандовски: «Надеюсь, Месси перейдет в «Барсу». Знаю, что с ним будет очень легко играть» 
 
🇮🇹 «Интер» сыграет в финале ЛЧ в форме с новым титульным спонсором – Paramount+ 
 
⚽️ Эрлинг Холанд: «Гвардиола – лучший тренер в мире»

#vkfootball"
4555,0,1685736000,"Цифры не врут, а только подтверждают феноменальную карьеру Карима в «Реале» 🤩 
 
Верите в скорый уход Бенза? 👀

#vkfootball"
2621,0,1685725202,"УЕФА открыл дело против Моуринью 😱

#vkfootball"
2084,0,1685721601,"Ой-Ой 🙃

#vkfootball"
1042,0,1685717377,"Не POV, а РИЛ: Когда так и не дождался утреннего новостного дайджеста на «Реальном Футболе» 🙈

#vkfootball"
2880,0,1685717326,"Еще на 5 лет в «Милане» 😍

#vkfootball"
2747,0,1685709446,"Холанд — лучший, Месси - 9-й 😱

#vkfootball"
1559,0,1685707625,"POV: Почеттино пришел на первую тренировку «Челси»

#vkfootball"
3534,0,1685696145,"Хави ждет 😉

#vkfootball"
1966,0,1685695939,"Весь футбольный мир в режиме ожидания 🫣

#vkfootball"
2891,0,1685689204,"Легенда о своем таланте ☝

#vkfootball"
3447,0,1685686167,"Это был сезон посвященный Марадонне! 
 
А вы знали, что Диего играл за «Севилью»?

#vkfootball"
3759,0,1685676600,"Гальтье понимает, как Лео был полезен 🤝

#vkfootball"
2177,0,1685665800,"Трофеев в «Аль-Насре» пока не выиграл, то хоть вспомнил о презентации 😁

#vkfootball"
3044,0,1685653200,"Ла Лига просто разрывает и доминирует в Европе 😎 
 
Даже АПЛ не может конкурировать на евро-арене 🙃

#vkfootball"
2743,0,1685651400,"Мы действительно можем не увидеть никого из этих суперзвезд в ЛЧ в следующем сезоне 😱 
 
Конец эпохи? 😥

#vkfootball"
3899,0,1685647800,"Бензема всегда знал, что его время придет 🏆🙏

#vkfootball"
1204,0,1685646001,"🇸🇦🔜 Пофантазируем? 
 
Погнали читать вечерний блок! День сегодня веселый однако 👇 
 
🇬🇪 Хвича продлит контракт с «Наполи» до 2028-го. Зарплата игрока вырастет вдвое – до 2,5 млн евро [Calciomercato] 
 
✅ Ольмо продлил контракт с «Лейпцигом» до 2027-го. Им интересовались «Бавария», «Барса» и «Реал» 
 
👌 Роналду о сезоне без трофеев в «Аль-Насре»: «Дела не всегда идут так, как мы бы хотели или мечтали. Я настроен позитивно» 
 
🙅‍♂ Бензема не получил контракт от «Аль-Иттихада» – только устное предложение. «Реал» допускает, что форвард останется до 2024-го [As] 
 
🤷‍♂ «ПСЖ» заявил, что Гальтье имел в виду последний матч Месси в сезоне. Но Лео в любом случае уходит [Le Parisien] 
 
🤔 «Барса» давит на Фати, чтобы он ушел из клуба. Вингер отказывается – он не хочет играть в «Вулвс» [Diario Sport] 
 
👉 «Реал» вернет Браима из «Милана» по окончании сезона. С 23-летним хавбеком хотят продлить контракт до 2027-го [Relevo] 
 
🤝 «Ман Сити» и Ковачич почти согласовали условия контракта. Хавбек покинет «Челси» летом [Фабрицио Романо] 
 
🇪🇸🇪🇺 Тебас о победе «Севильи» в ЛЕ: «Это показывает, насколько сильна Ла Лига. Команда, находившаяся у зоны вылета, выигрывает второй по силе еврокубок» 
 
🇪🇸 Линекер о Лиге Европы: «Пора в Кубок «Севильи» переименовать. Выдающиеся результаты» 
 
🤕 Роналду из-за травмы пропустил последний матч первого сезона в «Аль-Насре» [Reuters] 
 
👀 Модрич не намерен покидать «Реал». Он не получал предложений из Саудовской Аравии и отклонил одно из Катара несколько недель назад [Cadena SER] 
 
🙃«МЮ» выплатит Магуайру 10 млн фунтов в случае перехода в другой клуб – половину оставшейся зарплаты [Daily Mail]

#vkfootball"
3141,0,1685644200,"Бензема заканчивает в «Реале» наравне с Марсело по количеству выигранных титулов в истории клуба 🏆 
 
ЛЕГЕНДЫ 🌟

#vkfootball"
1842,0,1685642401,"Как минимум до субботы Карим будет в Мадриде 😏

#vkfootball"
5440,0,1685639999,"Быстро включились в дело ✅

#vkfootball"
3554,0,1685638802,"Наследие Карима в «Реале» поражает 👑 
 
Пора уходить? 🤔

#vkfootball"
2986,0,1685637737,"«ПСЖ» все отрицает 🙃 
 
Ничего не понятно, но очень интересно 😂

#vkfootball"
2837,0,1685637000,"Ещё один громкий переход ожидаем 🇪🇸➡🇫🇷 

#vkfootball"
2659,0,1685636306,"Без вариантов! Заслужил! 😎

#vkfootball"
2794,0,1685633400,"Иван снова с любимым кубком 😎

#vkfootball"
4600,0,1685631603,"Рамос поздравил родную «Севилью» с победой ❤ 
 
Серхио не мог оставить бывший клуб без теплых слов 🤝

#vkfootball"
2493,0,1685629800,"Буну настоящий специалист в пенальти 😎

#vkfootball"
2763,0,1685628002,"«Бока», Аргентина, «Наполи», «Барса» и вот теперь еще один клуб, где играл Диего Марадона выиграл трофей в этом сезоне 😍 
 
Диего был бы так горд 💙

#vkfootball"
2924,0,1685626200,"На что он намекает? 🤔

#vkfootball"
3218,0,1685624403,"За время пребывания в Париже Лео точно не испортил картину команды 😍 
 
А теперь история Месси и «ПСЖ» подходит к концу ❌

#vkfootball"
1815,0,1685622600,"«Милан» дропнул домашнюю форму на сезон 2023/24 🔴⚫️

#vkfootball"
7811,0,1685620112,"😱 ВСЁ! ОФИЦИАЛЬНО! ✅ 
 
😱 Об этом сообщил тренер парижан Кристоф Гальтье. 
 
👉 «Мне выпала честь управлять лучшим игроком в истории футбола. Матч [с «Клермоном»] будет для Месси последним на «Парк де Пренс». Смею надеяться, что его встретят как нельзя лучше», – сказал Гальтье.

#vkfootball"
2278,0,1685619025,"За время карьеры Гамшик также играл за «Слован», «Брешию», «Далянь Про» и «Гетеборг» ✅

#vkfootball"
1947,0,1685617202,"Роналду не удалось стать лучшим бомбардиром лиги 🤷‍♂

#vkfootball"
3177,0,1685615400,"Теллес был отправлен в аренду в «Севилью» из «МЮ» в начале сезона 👌 
 
Он помог выбить «Юнайтед» из четвертьфинала Лиги Европы и выиграл турнир с «Севильей» 😮

#vkfootball"
2567,0,1685613601,"Последнее поражение – в 2001-м 😳

#vkfootball"
2935,0,1685611800,"Жаль Пауло 😟

#vkfootball"
6445,0,1685610004,"Тот самый момент... 😳

#vkfootball"
3536,0,1685608200,"Исполнить ноу-лук пенальти в финале ЛЕ? 😳 
 
Да, Окампос имеет железные... 😏

#vkfootball"
1933,0,1685606402,"Знают толк в Европе 😎

#vkfootball"
3404,0,1685604600,"Неужели уйдёт? 👀

#vkfootball"
1622,0,1685602804,"После такого «Севилье» пора менять логотип 😎 
 
Читаем итоги вчерашнего вечера 👇 
 
😏 Моуринью о будущем в «Роме»: «До понедельника точно останусь» 
 
🫡 Ракитич поднимал кубок Лиги Европы, привязав к поясу футболку в поддержку вратаря «ПСЖ» Рико 
 
💪 Буну о победе над «Ромой» по пенальти: «Мои партнеры дают мне чувство уверенности. Нужно просто сохранять спокойствие» 
 
😟 Смоллинг о поражении в финале ЛЕ: «Обидно проигрывать по пенальти. Это лотерея. «Рома» была нацелена на победу» 
 
👀 13 желтых карточек в финале «Севилья» – «Рома» – рекорд для матча ЛЕ 
 
👌 Мендилибар о победе в финале ЛЕ: «Севилья» не отрабатывала 11-метровые в прошлых раундах. Мы были уверены в пенальтистах» 
 
👉 Жозе Моуринью: «Рома» убита чувством несправедливости. Судья казался испанцем. Ламела должен был получить вторую желтую» 
 
✅ Мендилибар выиграл 1-й трофей в карьере – Лигу Европы с «Севильей». Клуб назначил его в марте 
 
📊 У «Ромы» 1 победа за 10 последних матчей. Клуб лишился шансов на ЛЧ 
 
🇪🇺 «Севилья» сыграет в ЛЧ вместе с «Барселоной», «Реалом», «Атлетико» и «Сосьедадом». Она идет 11-й в Ла Лиге 
 
🤝 «МЮ» и Маунт согласовали контракт. Тен Хаг уверен, что клуб подпишет хавбека «Челси» [The Telegraph] 
 
😳 «Бавария» готова заплатить за Райса до 100 млн евро и побить свой рекорд. Хавбек «Вест Хэма» склоняется к переходу в «Арсенал» [The Times] 
 
👋 Беллингем попрощался с «Боруссией» в среду. Он близок к переходу в «Реал» [Ruhr Nachtrichten] 
 
🤞 Ла Лига позвонила отцу Месси и попросила время до 5 июня. «Барселоне» в понедельник одобрят финансовый план [Жерар Ромеро]

#vkfootball"
2185,0,1685599203,"Хосе Луис Мендилибар — третий тренер «Севильи» в этом сезоне 🥶 
 
Они заняли 11-е место в Ла Лиге 🙃 
 
В следующем сезоне они сыграют в Лиге чемпионов 🌟

#vkfootball"
3596,0,1685590200,"Яссин Буну — лучший игрок финала ЛЕ! 😎

#vkfootball"
3635,0,1685579400,"🫡 Хорош 
 
🏆 18 декабря 2022 года: Гонсало Монтиель забил победный пенальти и выиграл чемпионат мира с Аргентиной 
 
🏆 31 мая 2023 года: Гонсало Монтиель забил победный пенальти и выиграл Лигу Европы с «Севильей» 

#vkfootball"
3169,0,1685573258,"🥈Моур бросил болельщикам свою серебряную медаль ЛЕ

#vkfootball"
2600,0,1685572730,"Трофей ЛЕ снова у «Севильи»! 🇪🇸

#vkfootball"
1952,0,1685572367,"🫡 Жозе Моуринью впервые в истории проиграл европейский финал: 
 
✅ 2003 – Кубок УЕФА («Порту») 
 
✅ 2004 – Лига чемпионов («Порту») 
 
✅ 2010 – Лига чемпионов («Интер») 
 
✅ 2017 – Лига Европы («Манчестер Юнайтед») 
 
✅ 2022 – Лига конференций («Рома») 
 
❌ 2023 – Лига Европы («Рома»)

#vkfootball"
3019,0,1685571581,"Теперь это не смешно! 😂

#vkfootball"
6702,0,1685570988,"Семикратные обладатели ЛЕ! Ни одного проигранного финала! 🏆🏆🏆🏆🏆🏆🏆
 
Что-то еще надо говорить? 😎 
 
🥇 2006 против «Мидлсбро» 
🥇 2007 против «Эспаньола» 
🥇 2014 против «Бенфики» 
🥇 2015 против «Днепра» 
🥇 2016 против «Ливерпуля» 
🥇 2020 против «Интера» 
🥇 2023 против «Ромы»

#vkfootball"
9656,0,1685570651,"«СЕВИЛЬЯ» – ОБЛАДАТЕЛЬ ЛИГИ ЕВРОПЫ 2022/23! 🇪🇸🇪🇺
 
Короли ЛЕ снова на вершине! 👑

#vkfootball"
1864,0,1685569937,"Все! Дальше – только серия пенальти! ⚽ 

#vkfootball"
1466,0,1685569624,"Кто там шутил про автобус? 🚍

#vkfootball"
1456,0,1685568154,"Топ-бомбардиры «Севильи» в этом сезоне ЛЕ: 
 
4 – Эн-Несири 
3 – Автогол 
2 – Ламела 
 
🤷‍♂

#vkfootball"
1674,0,1685566899,"Нас ждет дополнительное время!

#vkfootball"
702,0,1685564439,"ГОООООООООООЛ! 
 
Автогол Манчини! 
 
""Севилья"" 1:1 ""Рома"""
1596,0,1685564419,"Пауло Дибала – первый аргентинец, забивший в финале еврокубка с сезона-2010/11 
 
Тогда Лео Месси забил в финале ЛЧ 💙... 
 
А последним аргентинцем, забивавшим в финале Кубка УЕФА/Лиги Европы, был Эрнан Креспо в 1999 году за «Парму»."
1068,0,1685563099,"«Севилья» дожмет во втором тайме?

#vkfootball"
1021,0,1685561809,"ГОООООООООООООООООЛ! 
 
Дибала открывает счет в финале! 
 
""Севилья"" 0:1 ""Рома"""
1861,0,1685557800,"Нас ждет эпичный финал! 
 
«Севилья» никогда не проигрывала в финале ЛЕ (6 финалов, 6 побед)
 
Жозе Моуринью как тренер ни разу не проигрывал в еврокубковых финалах (5 финалов, 5 побед)

#vkfootball"
1467,0,1685555369,"А вот и составы на главный матч в этом сезоне ЛЕ! 🔝

#vkfootball"
2759,0,1685554886,"Все к этому идет! 👌

#vkfootball"
2099,0,1685554200,"Винисиус (108) и Месси (100) – единственные два игрока, совершившие более 100 обводок в топ-5 лиг 🔝

#vkfootball"
1835,0,1685552402,"«Тоттенхэм» – первый обладатель Кубка УЕФА 😱
 
А кто сегодня затащит? 🤔

#vkfootball"
1543,0,1685550600,"У «Тоттенхэма» и «Челси» много общего 😏

#vkfootball"
1977,0,1685548802,"«Реал» – самый дорогой клуб мира! 💰
 
#vkfootball"
342,1,1685545500,"Болельщица «Наполи» обещала пройтись торсом, если команда Лучано Спаллетти станет чемпионом.

Свое обещание Кармен Каккавале сдержала t.me/+iB9UBx6Rq2M3Yjgy"
1655,0,1685543401,"Будапешт готов! 😍

#vkfootball"
1397,0,1685541604,"Но официального предложения Лео не получал 🙅‍♂

#vkfootball"
1509,0,1685539800,"Эволюция «Камп Ноу»: прошлое, настоящее и будущее 😍

#vkfootball"
1378,0,1685538002,"Лукаку готов к финалу ЛЧ 😂

#vkfootball"
1399,0,1685536200,"Контракт – на 4 года ✍

В сезоне-2022/23 Флеккен провел на ноль 13 из 34 матчей Бундеслиги. Это лучший показатель в немецком чемпионате.

#vkfootball"
1691,0,1685534402,"Новый уровень после рычагов 😁

#vkfootball"
1218,0,1685532600,"«ПСЖ» показал форму на следующий сезон ✨ 
 
В промо поучаствовал даже Лео Месси, который планирует уйти из клуба 👀

#vkfootball"
1138,0,1685530802,"«Копенгаген» выиграл чемпионат Дании в 15-й раз – вот так в городе отмечали трофей 😳😍

#vkfootball"
2772,0,1685529000,"Желтая стена никогда не забудет Джуда 💛

#vkfootball"
1815,0,1685527201,"Жозе уверен в своей команде и готов к бою 💪

#vkfootball"
1383,0,1685525400,"Татуировку в виде АВТОГРАФА Криштиану Роналду сделал себе игрок «Аль-Насра» по футзалу 👀

#vkfootball"
1684,0,1685523603,"Тренер «Севильи» на уважении 🤝

#vkfootball"
2096,0,1685521800,"Эти юные болельщики «Барсы» не смогли сдержать эмоций во время прощального матча Бускетса и Альбы 😟 
 
Две клубные легенды, повлиявшие на целое поколение болельщиков ❤💙

#vkfootball"
1968,0,1685520002,"Карим определится до воскресенья, и Перес примет любое его решение 😳

#vkfootball"
2462,0,1685518200,"Помог выиграть чемпионат в этом сезоне 😎

#vkfootball"
1624,0,1685516404,"Неймар не хочет играть в Саудовской Аравии 🙅‍♂

#vkfootball"
4515,0,1685512803,"Сегодня у нас день финала ЛЕ! 😍 
 
Короли ЛЕ или банда Моуринью? 🔥

#vkfootball"
2858,0,1685483247,"Гвардиола — лучший тренер АПЛ в сезоне-2022/23! 

Заслужил? 🤔

#vkfootball"
1313,0,1685480220,"Какая коллаборация понравилась больше всего?

#vkfootball"
2017,0,1685476675,"Галатасарай — 23-х кратный чемпион Турции 🇹🇷

#vkfootball"
1805,0,1685474620,"Вот что значит идеально подобранный ракурс 😍
 
#vkfootball"
2327,0,1685469601,"И это рекорд за 38-матчевый сезон АПЛ! 😎

#vkfootball"
1654,0,1685467800,"Сезон 2022/23 — это всего лишь четвертый раз, когда все три команды, вышедшие в АПЛ, избежали вылета после 2001/02, 2011/12 и 2017/18 📈📈📈

#vkfootball"
3423,0,1685466002,"Легендарный плеймейкер! 
 
Кевин Де Брюйне — первый игрок в истории АПЛ, который стал лучшим ассистентом в четырех разных сезонах 🔝
 
🎯 2016/17 – 18 ассистов 
🎯 2017/18 – 16 ассистов 
🎯 2019/20 – 20 ассистов 
🎯 2022/23 – 16 ассистов 

#vkfootball"
1834,0,1685464200,"Кейн — первый игрок в истории Премьер-лиги, забивший 30+ голов за два сезона из 38 игр 🤩 
 
⚽ 2017/18. 
⚽ 2022/23 

Он не выиграл «Золотую бутсу» ни в одном из этих сезонов 🤯"
2482,0,1685462402,"Гигачады АПЛ 😎
 
«Брентфорд» в этом сезоне: 
 
Дважды обыграл «Манчестер Сити» 
Победил «Манчестер Юнайтед» 4:0 
Победил «Ливерпуль» 
Победил «Брайтон» 
Победил «Тоттенхэм» 
Победил «Челси» 
Сыграл вничью c «Арсеналом» 
 
Дал очки каждой команде, борющейся за выживание, чтобы помочь им остаться

#vkfootball"
