ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
96,1,0,4,0,-4
97,1,1,256,1269,1013
98,1,1,68,1256,1188
99,0,0,108,0,-108
100,1,0,45,0,-45
101,1,1,642,2111,1469
102,1,0,12,0,-12
103,0,0,33,0,-33
104,1,1,163,1735,1572
105,0,0,54,0,-54
106,0,0,23,0,-23
107,1,1,752,1277,525
108,0,0,17,0,-17
109,1,0,51,0,-51
110,1,0,12,0,-12
111,0,0,2,0,-2
112,1,0,67,0,-67
113,0,0,13,0,-13
114,0,0,70,0,-70
115,1,0,29,0,-29
116,1,0,62,0,-62
117,1,0,35,0,-35
118,1,1,191,1308,1117
119,1,1,2528,3394,866
120,0,0,22,0,-22
121,1,0,130,0,-130
122,1,1,483,1881,1398
123,1,1,52,1645,1593
124,0,0,5,0,-5
125,0,0,4,0,-4
126,1,0,86,0,-86
127,1,1,156,1266,1110
128,1,1,1457,1279,-178
129,0,0,100,0,-100
130,1,0,100,0,-100
131,1,1,110,2954,2844
132,1,0,10,0,-10
133,1,0,40,0,-40
134,0,0,47,0,-47
135,1,1,239,1497,1258
136,0,0,10,0,-10
137,1,0,2,0,-2
138,0,0,52,0,-52
139,1,1,304,1272,968
140,1,0,0,0,0
141,0,0,23,0,-23
142,1,1,368,1434,1066
143,1,0,93,0,-93
144,1,0,58,0,-58
145,0,0,4,0,-4
146,1,0,5,0,-5
147,1,0,29,0,-29
148,1,0,9,0,-9
149,1,1,638,1526,888
150,0,0,77,0,-77
151,1,1,62,1328,1266
152,0,0,19,0,-19
153,1,0,34,0,-34
154,0,0,78,0,-78
155,1,0,0,0,0
156,1,0,243,0,-243
157,0,0,160,0,-160
158,1,0,2,0,-2
159,0,0,3,0,-3
160,0,0,0,0,0
161,1,0,1,0,-1
162,1,0,22,0,-22
163,0,0,10,0,-10
164,1,0,66,0,-66
165,1,1,998,3561,2563
166,0,0,8,0,-8
167,0,0,9,0,-9
168,1,1,601,1396,795
169,1,0,49,0,-49
170,1,0,15,0,-15
171,1,1,972,1592,620
172,1,0,13,0,-13
173,0,0,17,0,-17
174,0,0,41,0,-41
175,0,0,175,0,-175
176,1,1,984,2690,1706
177,1,0,11,0,-11
178,0,0,19,0,-19
179,0,0,154,0,-154
180,1,0,21,0,-21
181,1,0,15,0,-15
182,1,1,739,1249,510
183,1,0,1,0,-1
184,1,1,627,1261,634
185,1,0,8,0,-8
186,1,1,87,1612,1525
187,1,1,461,1512,1051
188,1,1,559,1411,852
189,0,0,17,0,-17
190,0,0,103,0,-103
191,1,0,25,0,-25
192,1,0,23,0,-23
193,0,0,12,0,-12
194,0,0,43,0,-43
195,0,0,71,0,-71
196,1,0,8,0,-8
197,1,0,9,0,-9
198,1,0,112,0,-112
199,1,1,245,1354,1109
200,1,0,14,0,-14
201,1,0,51,0,-51
202,1,1,49,1280,1231
203,0,0,44,0,-44
204,1,0,10,0,-10
205,0,0,15,0,-15
206,1,1,105,1531,1426
207,0,0,69,0,-69
208,0,0,13,0,-13
209,1,0,191,0,-191
210,1,0,48,0,-48
211,1,0,17,0,-17
212,1,1,217,1451,1234
213,0,0,87,0,-87
214,0,0,66,0,-66
215,1,0,83,0,-83
216,0,0,44,0,-44
217,1,0,24,0,-24
218,1,0,55,0,-55
219,1,0,32,0,-32
220,0,0,102,0,-102
221,1,1,1708,1247,-461
222,1,1,532,1236,704
223,1,0,8,0,-8
224,0,0,168,0,-168
225,1,0,185,0,-185
226,1,0,98,0,-98
227,0,0,7,0,-7
228,1,1,842,1255,413
229,1,0,25,0,-25
230,0,0,41,0,-41
231,1,1,103,1411,1308
232,0,0,10,0,-10
233,1,0,38,0,-38
234,0,0,17,0,-17
235,0,0,5,0,-5
236,1,0,42,0,-42
237,0,0,49,0,-49
238,0,0,13,0,-13
239,1,0,19,0,-19
240,1,1,1060,1321,261
241,0,0,1,0,-1
242,0,0,35,0,-35
243,0,0,3,0,-3
244,1,0,6,0,-6
245,1,0,58,0,-58
246,1,1,1665,1491,-174
247,0,0,214,0,-214
248,1,1,302,1272,970
249,0,0,82,0,-82
250,1,0,7,0,-7
251,0,0,81,0,-81
252,1,1,481,1471,990
253,0,0,3,0,-3
254,1,1,185,1348,1163
255,1,0,41,0,-41
256,1,0,33,0,-33
257,1,1,531,1416,885
258,0,0,6,0,-6
259,0,0,3,0,-3
260,0,0,36,0,-36
261,1,0,1,0,-1
262,1,1,552,1825,1273
263,1,1,377,1721,1344
264,1,1,505,1909,1404
265,1,1,54,1260,1206
266,1,1,747,1262,515
267,1,1,967,1263,296
268,1,0,34,0,-34
269,0,0,47,0,-47
270,1,0,59,0,-59
271,1,0,14,0,-14
272,1,0,3,0,-3
273,1,1,88,1582,1494
274,0,0,30,0,-30
275,1,0,80,0,-80
276,1,1,66,1265,1199
277,1,1,187,3407,3220
278,1,1,277,1401,1124
279,1,1,373,1332,959
280,1,0,75,0,-75
281,0,0,12,0,-12
282,0,0,34,0,-34
283,0,0,109,0,-109
284,0,0,2,0,-2
285,1,0,7,0,-7
286,0,0,69,0,-69
287,1,0,37,0,-37
288,0,0,22,0,-22
289,1,0,1,0,-1
290,1,0,10,0,-10
291,1,1,244,1468,1224
292,0,0,3,0,-3
293,0,0,27,0,-27
294,0,0,1,0,-1
295,1,1,233,1693,1460
296,1,1,496,1349,853
297,0,0,24,0,-24
298,1,1,48,1238,1190
299,0,0,4,0,-4
300,1,1,349,1415,1066
301,0,0,42,0,-42
302,1,1,449,1313,864
303,1,0,41,0,-41
304,0,0,102,0,-102
305,1,0,76,0,-76
306,0,0,11,0,-11
307,1,0,23,0,-23
308,1,1,410,2054,1644
309,1,1,665,1775,1110
310,1,0,4,0,-4
311,1,0,47,0,-47
312,1,0,18,0,-18
313,0,0,23,0,-23
314,0,0,80,0,-80
315,1,1,708,1680,972
316,0,0,29,0,-29
317,1,1,761,1601,840
318,1,0,36,0,-36
319,1,1,121,1321,1200
320,1,0,39,0,-39
321,1,0,69,0,-69
322,0,0,64,0,-64
323,0,0,59,0,-59
324,1,1,440,2502,2062
325,1,1,368,1352,984
326,1,1,361,1715,1354
327,1,1,1267,1373,106
328,1,0,9,0,-9
329,0,0,42,0,-42
330,1,0,6,0,-6
331,0,0,14,0,-14
332,1,1,150,2003,1853
333,1,1,169,1670,1501
334,1,0,229,0,-229
335,0,0,21,0,-21
336,1,0,2,0,-2
337,0,0,44,0,-44
338,1,1,74,1871,1797
339,0,0,111,0,-111
340,0,0,54,0,-54
341,1,1,1217,1583,366
342,1,1,189,1542,1353
343,1,0,50,0,-50
344,0,0,19,0,-19
345,1,0,42,0,-42
346,0,0,19,0,-19
347,1,1,1106,1427,321
348,1,0,38,0,-38
349,1,0,16,0,-16
350,1,0,57,0,-57
351,1,0,0,0,0
352,1,0,23,0,-23
353,1,0,3,0,-3
354,1,0,36,0,-36
355,1,0,1,0,-1
356,1,0,46,0,-46
357,0,0,44,0,-44
358,0,0,85,0,-85
359,0,0,6,0,-6
360,0,0,2,0,-2
361,0,0,32,0,-32
362,0,0,27,0,-27
363,1,1,1175,1315,140
364,1,1,1694,1464,-230
365,0,0,131,0,-131
366,1,0,62,0,-62
367,0,0,27,0,-27
368,0,0,21,0,-21
369,1,1,417,1249,832
370,0,0,97,0,-97
371,0,0,24,0,-24
372,1,0,5,0,-5
373,1,0,2,0,-2
374,0,0,37,0,-37
375,0,0,3,0,-3
376,1,0,12,0,-12
377,0,0,0,0,0
378,0,0,19,0,-19
379,0,0,6,0,-6
380,1,1,166,1641,1475
381,1,1,443,1380,937
382,1,0,16,0,-16
383,0,0,78,0,-78
384,0,0,22,0,-22
385,1,0,8,0,-8
386,1,1,50,1589,1539
387,1,0,60,0,-60
388,0,0,25,0,-25
389,1,1,2309,1356,-953
390,0,0,91,0,-91
391,1,1,434,1277,843
392,1,1,337,1279,942
393,0,0,7,0,-7
394,0,0,23,0,-23
395,1,0,8,0,-8
396,0,0,36,0,-36
397,1,0,181,0,-181
398,1,0,86,0,-86
399,1,0,75,0,-75
400,1,1,1064,1876,812
401,1,0,25,0,-25
402,0,0,53,0,-53
403,1,0,22,0,-22
404,1,1,858,1485,627
405,1,1,215,1489,1274
406,0,0,12,0,-12
407,1,1,299,1345,1046
408,1,0,13,0,-13
409,0,0,7,0,-7
410,1,0,12,0,-12
411,1,1,519,2357,1838
412,0,0,2,0,-2
413,0,0,28,0,-28
414,1,0,39,0,-39
415,1,0,0,0,0
416,0,0,1,0,-1
417,1,0,205,0,-205
418,1,1,286,1882,1596
419,1,1,2954,1341,-1613
420,1,1,1364,1281,-83
421,1,1,596,2353,1757
422,1,1,780,1824,1044
423,1,0,50,0,-50
424,1,0,145,0,-145
425,0,0,0,0,0
426,1,1,3275,1321,-1954
427,1,0,1,0,-1
428,1,0,128,0,-128
429,0,0,69,0,-69
430,0,0,37,0,-37
431,1,1,785,1343,558
432,1,0,5,0,-5
433,0,0,100,0,-100
434,1,0,321,0,-321
435,1,0,2,0,-2
436,0,0,74,0,-74
437,1,1,629,1236,607
438,1,1,105,1276,1171
439,0,0,63,0,-63
440,0,0,194,0,-194
441,1,1,78,1400,1322
442,1,1,156,2100,1944
443,1,1,93,1871,1778
444,0,0,27,0,-27
445,0,0,185,0,-185
446,1,0,4,0,-4
447,0,0,25,0,-25
448,1,0,10,0,-10
449,1,0,3,0,-3
450,1,1,453,1318,865
451,1,1,403,1416,1013
452,0,0,23,0,-23
453,0,0,38,0,-38
454,0,0,70,0,-70
455,1,1,1095,1588,493
456,0,0,181,0,-181
457,0,0,163,0,-163
458,1,1,861,1939,1078
459,0,0,87,0,-87
460,1,1,864,2402,1538
461,0,0,15,0,-15
462,0,0,24,0,-24
463,1,1,320,1401,1081
464,1,0,20,0,-20
465,0,0,21,0,-21
466,0,0,75,0,-75
467,0,0,78,0,-78
468,1,0,207,0,-207
469,1,1,450,1326,876
470,1,1,168,1462,1294
471,1,0,25,0,-25
472,1,1,817,1444,627
473,0,0,13,0,-13
474,0,0,307,0,-307
475,0,0,25,0,-25
476,0,0,21,0,-21
477,1,0,20,0,-20
478,1,1,559,1692,1133
479,1,1,41,1635,1594
480,1,0,34,0,-34
481,1,0,11,0,-11
482,1,0,34,0,-34
483,1,0,26,0,-26
484,1,0,4,0,-4
485,0,0,70,0,-70
486,1,0,27,0,-27
487,1,0,16,0,-16
488,1,0,18,0,-18
489,1,1,291,1445,1154
490,0,0,2,0,-2
491,1,0,24,0,-24
492,1,1,510,1834,1324
493,1,1,182,2637,2455
494,1,0,88,0,-88
495,0,0,30,0,-30
496,1,0,39,0,-39
497,1,1,598,2279,1681
498,1,0,21,0,-21
499,0,0,10,0,-10
500,0,0,23,0,-23
501,0,0,36,0,-36
502,1,0,38,0,-38
503,1,0,61,0,-61
504,1,1,295,1401,1106
505,1,1,793,1358,565
506,1,1,316,1330,1014
507,1,1,232,1596,1364
508,1,0,62,0,-62
509,1,0,31,0,-31
510,0,0,71,0,-71
511,0,0,48,0,-48
512,1,1,1339,1726,387
513,0,0,31,0,-31
514,0,0,28,0,-28
515,0,0,77,0,-77
516,0,0,48,0,-48
517,0,0,61,0,-61
518,0,0,21,0,-21
519,0,0,95,0,-95
520,0,0,69,0,-69
521,1,0,78,0,-78
522,1,1,107,2533,2426
523,0,0,62,0,-62
524,1,0,17,0,-17
525,0,0,19,0,-19
526,0,0,6,0,-6
527,0,0,80,0,-80
528,0,0,34,0,-34
529,0,0,75,0,-75
530,1,0,90,0,-90
531,0,0,33,0,-33
532,0,0,21,0,-21
533,0,0,122,0,-122
534,0,0,73,0,-73
535,0,0,32,0,-32
536,1,0,6,0,-6
537,1,0,56,0,-56
538,0,0,101,0,-101
539,1,1,669,1503,834
540,1,0,2,0,-2
541,0,0,4,0,-4
542,0,0,96,0,-96
543,1,0,12,0,-12
544,0,0,0,0,0
545,0,0,30,0,-30
546,0,0,68,0,-68
547,0,0,17,0,-17
548,1,1,513,2345,1832
549,0,0,21,0,-21
550,1,0,104,0,-104
551,0,0,53,0,-53
552,1,0,9,0,-9
553,1,1,1180,2918,1738
554,1,0,50,0,-50
555,1,0,21,0,-21
556,1,1,890,1316,426
557,0,0,12,0,-12
558,1,0,11,0,-11
559,1,1,1455,1304,-151
560,1,1,552,1365,813
561,1,0,61,0,-61
562,1,0,20,0,-20
563,0,0,24,0,-24
564,1,1,747,1317,570
565,0,0,2,0,-2
566,1,0,112,0,-112
567,1,0,7,0,-7
568,1,0,156,0,-156
569,1,0,51,0,-51
570,0,0,68,0,-68
571,0,0,78,0,-78
572,0,0,6,0,-6
573,1,1,431,1741,1310
574,0,0,89,0,-89
575,1,0,56,0,-56
576,1,1,30,1617,1587
577,1,0,28,0,-28
578,0,0,42,0,-42
579,1,1,1053,1295,242
580,0,0,23,0,-23
581,1,1,158,1386,1228
582,1,0,14,0,-14
583,1,1,581,3587,3006
584,1,0,37,0,-37
585,1,1,772,1468,696
586,1,1,196,1470,1274
587,1,0,65,0,-65
588,0,0,6,0,-6
589,1,1,1312,1734,422
590,1,1,1046,1388,342
591,1,1,712,1600,888
592,0,0,3,0,-3
593,1,1,646,1785,1139
594,0,0,25,0,-25
595,0,0,26,0,-26
596,0,0,5,0,-5
597,0,0,65,0,-65
598,0,0,14,0,-14
599,1,0,78,0,-78
600,0,0,183,0,-183
601,1,1,185,1395,1210
602,1,0,84,0,-84
603,1,1,926,1564,638
604,1,1,33,1632,1599
605,0,0,48,0,-48
606,0,0,165,0,-165
607,1,1,1067,1778,711
608,0,0,27,0,-27
609,0,0,52,0,-52
610,1,1,179,1305,1126
611,1,0,5,0,-5
612,1,1,631,1256,625
613,0,0,20,0,-20
614,0,0,11,0,-11
615,1,0,37,0,-37
616,1,1,1093,1813,720
617,0,0,155,0,-155
618,0,0,75,0,-75
619,1,0,77,0,-77
620,0,0,3,0,-3
621,1,0,24,0,-24
622,1,1,22,1734,1712
623,1,0,78,0,-78
624,1,0,10,0,-10
625,1,1,784,2987,2203
626,0,0,32,0,-32
627,1,0,7,0,-7
628,0,0,4,0,-4
629,0,0,100,0,-100
630,1,0,41,0,-41
631,0,0,118,0,-118
632,1,0,12,0,-12
633,1,0,28,0,-28
634,0,0,92,0,-92
635,1,1,274,1696,1422
636,1,1,489,1873,1384
637,1,1,101,1490,1389
638,0,0,69,0,-69
639,0,0,175,0,-175
640,1,0,54,0,-54
641,0,0,35,0,-35
642,1,0,27,0,-27
643,1,0,105,0,-105
644,1,1,910,2717,1807
645,1,0,169,0,-169
646,1,1,118,1327,1209
647,0,0,4,0,-4
648,0,0,6,0,-6
649,1,1,254,2470,2216
650,1,0,6,0,-6
651,1,1,693,1247,554
652,1,0,39,0,-39
653,1,1,263,1368,1105
654,0,0,10,0,-10
655,1,1,401,1453,1052
656,1,0,6,0,-6
657,0,0,177,0,-177
658,0,0,42,0,-42
659,1,1,491,1345,854
660,1,1,423,1504,1081
661,0,0,50,0,-50
662,1,0,125,0,-125
663,1,0,59,0,-59
664,1,0,6,0,-6
665,0,0,20,0,-20
666,1,1,297,1323,1026
667,1,0,9,0,-9
668,1,0,124,0,-124
669,0,0,58,0,-58
670,0,0,53,0,-53
671,1,0,40,0,-40
672,0,0,8,0,-8
673,1,1,644,1333,689
674,1,0,51,0,-51
675,0,0,0,0,0
676,1,1,42,1781,1739
677,0,0,10,0,-10
678,0,0,217,0,-217
679,1,1,1861,1485,-376
680,1,1,857,1341,484
681,0,0,59,0,-59
682,0,0,41,0,-41
683,1,0,70,0,-70
684,1,0,10,0,-10
685,0,0,228,0,-228
686,0,0,87,0,-87
687,0,0,11,0,-11
688,0,0,20,0,-20
689,1,1,503,1378,875
690,0,0,38,0,-38
691,1,1,447,2157,1710
692,1,1,53,1247,1194
693,1,0,25,0,-25
694,0,0,4,0,-4
695,1,0,39,0,-39
696,1,0,55,0,-55
697,1,1,67,1344,1277
698,0,0,24,0,-24
699,0,0,37,0,-37
700,0,0,82,0,-82
701,1,1,212,1614,1402
702,1,0,2,0,-2
703,1,1,431,2562,2131
704,1,1,564,1468,904
705,1,1,379,3446,3067
706,1,0,3,0,-3
707,0,0,46,0,-46
708,1,1,324,1300,976
709,1,0,52,0,-52
710,0,0,5,0,-5
711,1,0,47,0,-47
712,0,0,4,0,-4
713,1,0,6,0,-6
714,1,1,524,1569,1045
715,0,0,29,0,-29
716,1,1,318,1854,1536
717,1,0,48,0,-48
718,0,0,27,0,-27
719,0,0,19,0,-19
720,0,0,1,0,-1
721,1,1,286,1782,1496
722,0,0,19,0,-19
723,0,0,119,0,-119
724,1,0,15,0,-15
725,1,0,39,0,-39
726,1,1,474,1372,898
727,1,1,443,1269,826
728,0,0,5,0,-5
729,0,0,26,0,-26
730,1,0,43,0,-43
731,1,1,143,1505,1362
732,1,1,322,1295,973
733,1,0,17,0,-17
734,1,1,291,2198,1907
735,1,1,488,1897,1409
736,1,1,2109,1235,-874
737,1,1,159,1466,1307
738,1,0,60,0,-60
739,1,0,24,0,-24
740,0,0,127,0,-127
741,1,0,2,0,-2
742,0,0,47,0,-47
743,0,0,33,0,-33
744,0,0,79,0,-79
745,1,1,335,1321,986
746,1,0,143,0,-143
747,0,0,45,0,-45
748,1,0,25,0,-25
749,1,0,71,0,-71
750,1,0,10,0,-10
751,1,1,72,2196,2124
752,0,0,13,0,-13
753,1,0,97,0,-97
754,1,1,660,1718,1058
755,0,0,48,0,-48
756,1,1,467,1591,1124
757,0,0,2,0,-2
758,1,1,637,1365,728
759,0,0,13,0,-13
760,1,0,50,0,-50
761,0,0,119,0,-119
762,1,1,286,1386,1100
763,1,0,138,0,-138
764,0,0,91,0,-91
765,1,1,590,1349,759
766,1,1,983,1383,400
767,0,0,15,0,-15
768,1,0,64,0,-64
769,0,0,12,0,-12
770,0,0,58,0,-58
771,0,0,1,0,-1
772,1,0,27,0,-27
773,1,1,302,1438,1136
774,0,0,5,0,-5
775,0,0,72,0,-72
776,0,0,58,0,-58
777,1,1,834,1405,571
778,1,0,48,0,-48
779,0,0,121,0,-121
780,0,0,20,0,-20
781,0,0,29,0,-29
782,1,1,690,1443,753
783,0,0,56,0,-56
784,0,0,74,0,-74
785,1,0,74,0,-74
786,0,0,17,0,-17
787,0,0,130,0,-130
788,1,0,133,0,-133
789,1,1,327,1619,1292
790,1,0,14,0,-14
791,1,0,98,0,-98
792,0,0,136,0,-136
793,0,0,17,0,-17
794,0,0,7,0,-7
795,1,0,38,0,-38
796,1,1,584,1381,797
797,1,1,877,1598,721
798,0,0,41,0,-41
799,0,0,25,0,-25
800,1,1,506,1350,844
801,0,0,144,0,-144
802,0,0,14,0,-14
803,1,1,456,1398,942
804,0,0,13,0,-13
805,1,0,23,0,-23
806,0,0,14,0,-14
807,0,0,86,0,-86
808,1,0,93,0,-93
809,0,0,12,0,-12
810,1,1,530,1985,1455
811,1,1,680,1268,588
812,0,0,24,0,-24
813,1,1,547,3681,3134
814,1,0,59,0,-59
815,1,1,87,1576,1489
816,1,1,296,1410,1114
817,1,1,394,1770,1376
818,1,0,18,0,-18
819,1,0,15,0,-15
820,0,0,2,0,-2
821,0,0,7,0,-7
822,0,0,86,0,-86
823,1,0,56,0,-56
824,1,1,403,1954,1551
825,0,0,238,0,-238
826,0,0,2,0,-2
827,0,0,32,0,-32
828,1,0,17,0,-17
829,1,0,12,0,-12
830,0,0,17,0,-17
831,0,0,127,0,-127
832,1,1,98,1482,1384
833,0,0,39,0,-39
834,1,0,46,0,-46
835,1,0,126,0,-126
836,0,0,0,0,0
837,1,0,11,0,-11
838,1,0,10,0,-10
839,1,0,134,0,-134
840,0,0,5,0,-5
841,1,0,8,0,-8
842,0,0,4,0,-4
843,1,1,378,1306,928
844,0,0,36,0,-36
845,0,0,8,0,-8
846,0,0,25,0,-25
847,1,0,17,0,-17
848,0,0,2,0,-2
849,1,0,8,0,-8
850,1,1,1194,1253,59
851,0,0,48,0,-48
852,0,0,41,0,-41
853,1,0,32,0,-32
854,0,0,74,0,-74
855,1,1,989,1330,341
856,0,0,50,0,-50
857,0,0,14,0,-14
858,1,0,8,0,-8
859,1,1,60,1247,1187
860,0,0,58,0,-58
861,0,0,21,0,-21
862,0,0,3,0,-3
863,0,0,0,0,0
864,1,0,14,0,-14
865,0,0,23,0,-23
866,0,0,46,0,-46
867,0,0,150,0,-150
868,1,0,80,0,-80
869,1,0,12,0,-12
870,1,0,11,0,-11
871,0,0,5,0,-5
872,1,1,157,1673,1516
873,1,1,468,1543,1075
874,0,0,145,0,-145
875,1,1,248,2089,1841
876,0,0,26,0,-26
877,0,0,255,0,-255
878,1,0,24,0,-24
879,0,0,5,0,-5
880,1,0,27,0,-27
881,0,0,285,0,-285
882,1,1,1062,1591,529
883,1,0,34,0,-34
884,0,0,18,0,-18
885,0,0,41,0,-41
886,0,0,29,0,-29
887,1,0,24,0,-24
888,0,0,6,0,-6
889,0,0,5,0,-5
890,0,0,0,0,0
891,0,0,29,0,-29
892,1,1,526,1246,720
893,0,0,23,0,-23
894,1,0,8,0,-8
895,0,0,49,0,-49
896,0,0,14,0,-14
897,1,0,28,0,-28
898,1,1,330,6065,5735
899,1,0,57,0,-57
900,0,0,61,0,-61
901,0,0,3,0,-3
902,0,0,86,0,-86
903,0,0,25,0,-25
904,0,0,49,0,-49
905,1,1,430,1622,1192
906,1,1,48,2151,2103
907,1,0,160,0,-160
908,0,0,94,0,-94
909,1,1,189,1556,1367
910,1,1,353,1318,965
911,1,0,21,0,-21
912,0,0,12,0,-12
913,1,1,74,1289,1215
914,0,0,27,0,-27
915,1,0,66,0,-66
916,1,1,196,1250,1054
917,1,1,166,1844,1678
918,1,0,79,0,-79
919,0,0,20,0,-20
920,0,0,58,0,-58
921,0,0,52,0,-52
922,0,0,4,0,-4
923,0,0,13,0,-13
924,0,0,47,0,-47
925,1,1,897,1344,447
926,0,0,36,0,-36
927,1,1,719,1241,522
928,1,1,118,1711,1593
929,1,1,952,1296,344
930,0,0,43,0,-43
931,1,0,2,0,-2
932,0,0,57,0,-57
933,0,0,0,0,0
934,1,0,4,0,-4
935,0,0,44,0,-44
936,1,1,54,1289,1235
937,1,0,3,0,-3
938,0,0,101,0,-101
939,1,0,34,0,-34
940,0,0,76,0,-76
941,0,0,4,0,-4
942,1,0,48,0,-48
943,0,0,70,0,-70
944,0,0,72,0,-72
945,1,1,681,1703,1022
946,0,0,9,0,-9
947,1,1,385,1267,882
948,1,0,21,0,-21
949,0,0,6,0,-6
950,0,0,8,0,-8
951,0,0,2,0,-2
952,1,1,371,1289,918
953,0,0,44,0,-44
954,1,1,970,1286,316
955,0,0,8,0,-8
956,0,0,13,0,-13
957,0,0,41,0,-41
958,0,0,277,0,-277
959,0,0,24,0,-24
960,1,0,20,0,-20
961,1,0,26,0,-26
962,1,1,463,1396,933
963,1,0,66,0,-66
964,1,1,654,1604,950
965,0,0,45,0,-45
966,1,1,497,1329,832
967,1,1,240,1739,1499
968,0,0,103,0,-103
969,1,0,86,0,-86
970,1,0,11,0,-11
971,0,0,22,0,-22
972,1,1,58,1279,1221
973,1,0,9,0,-9
974,1,1,78,1787,1709
975,0,0,57,0,-57
976,0,0,30,0,-30
977,0,0,10,0,-10
978,1,0,98,0,-98
979,1,0,38,0,-38
980,1,0,25,0,-25
981,0,0,83,0,-83
982,1,0,0,0,0
983,0,0,131,0,-131
984,0,0,13,0,-13
985,1,0,38,0,-38
986,1,1,428,1415,987
987,1,0,28,0,-28
988,1,0,2,0,-2
989,0,0,23,0,-23
990,1,0,15,0,-15
991,1,0,20,0,-20
992,0,0,0,0,0
993,0,0,11,0,-11
994,1,1,63,1639,1576
995,1,0,30,0,-30
996,0,0,2,0,-2
997,1,0,25,0,-25
998,1,0,174,0,-174
999,0,0,12,0,-12
1000,1,1,1109,1713,604
1001,0,0,50,0,-50
1002,1,1,105,1342,1237
1003,1,1,510,2103,1593
1004,0,0,50,0,-50
1005,1,1,31,2748,2717
1006,1,0,43,0,-43
1007,1,0,248,0,-248
1008,1,1,287,1270,983
1009,0,0,50,0,-50
1010,0,0,9,0,-9
1011,0,0,49,0,-49
1012,1,0,38,0,-38
1013,0,0,21,0,-21
1014,1,0,19,0,-19
1015,1,0,68,0,-68
1016,1,0,19,0,-19
1017,0,0,55,0,-55
1018,0,0,135,0,-135
1019,0,0,131,0,-131
1020,1,0,85,0,-85
1021,0,0,8,0,-8
1022,1,0,31,0,-31
1023,1,0,16,0,-16
1024,0,0,124,0,-124
1025,0,0,29,0,-29
1026,1,1,103,1270,1167
1027,1,0,136,0,-136
1028,1,0,2,0,-2
1029,1,0,7,0,-7
1030,1,0,329,0,-329
1031,1,0,11,0,-11
1032,1,1,603,1253,650
1033,1,1,62,2085,2023
1034,0,0,30,0,-30
1035,0,0,10,0,-10
1036,1,1,940,1370,430
1037,0,0,9,0,-9
1038,1,0,60,0,-60
1039,0,0,40,0,-40
1040,1,0,42,0,-42
1041,0,0,8,0,-8
1042,1,0,102,0,-102
1043,1,0,29,0,-29
1044,1,1,540,1630,1090
1045,0,0,5,0,-5
1046,1,0,21,0,-21
1047,0,0,213,0,-213
1048,1,0,77,0,-77
1049,0,0,58,0,-58
1050,1,0,59,0,-59
1051,1,0,34,0,-34
1052,1,0,71,0,-71
